Date,Customer_ID,Product_ID,Time_Spent_On_Ads,Ads_ID,Daily_Internet_Usage,Number_ClicksAds,Number_ProductBought,Modified_Date
2017-12-30,28737,11583,2,1984,5.8,15,5,2021_08_06-03_32_20_PM
2017-04-20,50743,7011,4,7916,8.4,25,2,2021_08_06-03_32_20_PM
2017-08-04,5457,16328,14,5465,6.3,14,3,2021_08_06-03_32_20_PM
2017-07-04,59460,9838,3,2123,6.2,8,1,2021_08_06-03_32_20_PM
2017-07-31,65391,18213,8,4644,7.6,12,4,2021_08_06-03_32_20_PM
2017-03-28,1699,30210,2,7916,8.3,15,0,2021_08_06-03_32_20_PM
2017-07-25,13831,10234,15,3366,9.8,20,4,2021_08_06-03_32_20_PM
2017-04-29,29275,3108,13,5198,6.2,9,4,2021_08_06-03_32_20_PM
2017-04-26,77766,2453,9,3510,5.4,24,4,2021_08_06-03_32_20_PM
2017-01-07,59227,9813,10,9777,9.5,9,1,2021_08_06-03_32_20_PM
2017-05-16,18946,29597,6,4644,2.0,5,2,2021_08_06-03_32_20_PM
2017-03-24,64908,20587,1,2701,1.0,11,3,2021_08_06-03_32_20_PM
2017-05-30,75759,9747,5,6177,9.2,4,4,2021_08_06-03_32_20_PM
2017-11-14,44126,8321,6,3720,1.7,8,0,2021_08_06-03_32_20_PM
2017-12-19,79236,21040,15,3352,9.6,6,5,2021_08_06-03_32_20_PM
2017-10-16,66000,23519,5,3352,4.6,20,0,2021_08_06-03_32_20_PM
2017-07-05,5457,22880,1,6157,8.7,12,0,2021_08_06-03_32_20_PM
2017-03-14,22482,19693,13,9777,2.6,14,4,2021_08_06-03_32_20_PM
2017-06-08,61517,5665,2,3720,6.5,1,3,2021_08_06-03_32_20_PM
2017-05-17,16687,17092,10,5186,8.2,18,4,2021_08_06-03_32_20_PM
2017-02-23,45060,24257,11,2160,1.8,4,3,2021_08_06-03_32_20_PM
2017-12-25,28737,12837,6,9445,7.2,3,1,2021_08_06-03_32_20_PM
2017-01-18,29204,222,6,6793,2.1,17,0,2021_08_06-03_32_20_PM
2017-10-19,20317,10361,3,1984,8.2,28,5,2021_08_06-03_32_20_PM
2017-12-25,73163,29373,12,1984,0.8,28,5,2021_08_06-03_32_20_PM
2017-12-10,13676,25068,10,4132,9.5,4,2,2021_08_06-03_32_20_PM
2017-09-15,64906,9456,5,592,2.5,14,1,2021_08_06-03_32_20_PM
2017-06-09,79236,27095,7,3983,6.5,3,2,2021_08_06-03_32_20_PM
2017-05-24,13676,30092,6,3352,9.6,1,3,2021_08_06-03_32_20_PM
2017-02-05,52157,10470,3,5483,7.7,17,0,2021_08_06-03_32_20_PM
2017-12-11,21255,8830,10,2123,5.2,4,5,2021_08_06-03_32_20_PM
2017-04-12,78288,12806,1,5186,6.5,18,2,2021_08_06-03_32_20_PM
2017-02-07,65391,14331,10,3412,9.5,30,1,2021_08_06-03_32_20_PM
2017-10-07,19918,3202,15,3541,7.5,20,3,2021_08_06-03_32_20_PM
2017-10-15,30377,20023,10,1867,7.4,23,3,2021_08_06-03_32_20_PM
2017-04-12,87548,11163,9,2154,9.7,11,0,2021_08_06-03_32_20_PM
2017-08-28,85095,13325,12,5186,2.3,14,3,2021_08_06-03_32_20_PM
2017-04-27,48477,22853,1,6793,4.4,20,2,2021_08_06-03_32_20_PM
2017-06-12,33996,13879,4,3412,1.8,22,1,2021_08_06-03_32_20_PM
2017-12-11,32941,18608,4,5483,1.9,21,2,2021_08_06-03_32_20_PM
2017-05-27,53182,13010,6,4823,9.6,6,1,2021_08_06-03_32_20_PM
2017-04-28,20317,24257,15,3541,9.3,24,4,2021_08_06-03_32_20_PM
2017-08-16,19918,3873,1,4132,0.9,27,5,2021_08_06-03_32_20_PM
2017-09-07,37936,15897,10,5483,0.9,28,1,2021_08_06-03_32_20_PM
2017-11-27,83108,28640,8,3743,9.4,19,0,2021_08_06-03_32_20_PM
2017-11-13,49011,10510,12,3743,2.6,19,2,2021_08_06-03_32_20_PM
2017-08-09,77078,28254,5,3743,4.8,24,5,2021_08_06-03_32_20_PM
2017-04-16,75759,8321,4,5465,1.6,28,0,2021_08_06-03_32_20_PM
2017-07-16,72009,10361,15,4823,7.4,14,3,2021_08_06-03_32_20_PM
2017-09-28,87548,10583,1,3412,0.6,22,4,2021_08_06-03_32_20_PM
2017-03-12,22482,15796,2,3412,3.4,7,0,2021_08_06-03_32_20_PM
2017-01-15,22482,4533,14,4726,9.6,12,0,2021_08_06-03_32_20_PM
2017-08-11,85936,22394,8,4505,7.0,21,0,2021_08_06-03_32_20_PM
2017-01-15,1417,30038,13,3743,8.2,11,1,2021_08_06-03_32_20_PM
2017-10-25,87198,3274,5,3983,7.9,3,4,2021_08_06-03_32_20_PM
2017-07-15,64908,18590,8,2701,9.3,25,1,2021_08_06-03_32_20_PM
2017-09-15,67323,803,12,4724,6.2,18,2,2021_08_06-03_32_20_PM
2017-03-10,45464,180,13,2154,7.2,10,2,2021_08_06-03_32_20_PM
2017-12-06,77407,11627,2,4644,4.4,14,4,2021_08_06-03_32_20_PM
2017-07-30,71577,7886,10,6157,2.2,25,1,2021_08_06-03_32_20_PM
2017-08-17,33996,2433,1,4724,5.9,1,1,2021_08_06-03_32_20_PM
2017-07-13,33996,826,15,592,7.8,28,0,2021_08_06-03_32_20_PM
2017-03-14,28737,27208,13,3983,1.5,28,5,2021_08_06-03_32_20_PM
2017-09-19,22482,7449,4,6256,6.6,26,1,2021_08_06-03_32_20_PM
2017-07-30,87316,3202,5,9722,9.0,20,4,2021_08_06-03_32_20_PM
2017-08-12,53166,17301,15,9159,0.8,26,5,2021_08_06-03_32_20_PM
2017-01-15,29275,8631,5,3366,5.7,27,5,2021_08_06-03_32_20_PM
2017-01-31,53182,19369,13,2160,8.3,20,1,2021_08_06-03_32_20_PM
2017-12-06,83027,26935,10,2154,6.0,3,4,2021_08_06-03_32_20_PM
2017-08-11,60121,30210,13,4644,6.9,12,5,2021_08_06-03_32_20_PM
2017-12-06,58709,14341,2,9841,7.1,18,2,2021_08_06-03_32_20_PM
2017-04-27,87548,516,4,9841,5.9,24,1,2021_08_06-03_32_20_PM
2017-01-19,24684,21652,8,9777,7.5,24,5,2021_08_06-03_32_20_PM
2017-09-05,54443,5782,8,9777,1.6,28,3,2021_08_06-03_32_20_PM
2017-11-14,71447,21213,8,5186,4.3,28,3,2021_08_06-03_32_20_PM
2017-09-08,54443,28819,4,3720,5.4,12,5,2021_08_06-03_32_20_PM
2017-09-25,60121,20076,15,9841,4.8,4,2,2021_08_06-03_32_20_PM
2017-10-30,66244,13457,15,4726,3.6,7,2,2021_08_06-03_32_20_PM
2017-05-29,7523,7154,14,6667,8.3,22,0,2021_08_06-03_32_20_PM
2017-07-22,84219,4734,7,5465,2.6,2,0,2021_08_06-03_32_20_PM
2017-01-17,24684,21214,1,3983,1.7,7,2,2021_08_06-03_32_20_PM
2017-09-04,50743,17041,11,6256,0.7,3,2,2021_08_06-03_32_20_PM
2017-07-23,41752,20076,8,6256,9.2,25,0,2021_08_06-03_32_20_PM
2017-08-05,90529,3829,11,9651,1.7,18,3,2021_08_06-03_32_20_PM
2017-06-17,87198,2173,15,3352,1.1,20,3,2021_08_06-03_32_20_PM
2017-12-10,5457,26423,13,3541,1.8,9,5,2021_08_06-03_32_20_PM
2017-11-26,80796,19300,4,2701,1.4,20,5,2021_08_06-03_32_20_PM
2017-09-30,50743,16433,4,6256,6.3,9,4,2021_08_06-03_32_20_PM
2017-10-01,77407,16958,11,9651,3.9,29,4,2021_08_06-03_32_20_PM
2017-01-01,5761,8236,11,9280,6.6,11,3,2021_08_06-03_32_20_PM
2017-09-24,83027,17751,12,9159,9.5,28,2,2021_08_06-03_32_20_PM
2017-12-09,11281,10368,2,2657,3.3,17,4,2021_08_06-03_32_20_PM
2017-01-10,24684,26820,8,6157,5.7,22,5,2021_08_06-03_32_20_PM
2017-01-28,69212,9344,3,7403,2.0,26,5,2021_08_06-03_32_20_PM
2017-09-02,72692,30210,10,5483,1.5,13,4,2021_08_06-03_32_20_PM
2017-01-13,32941,22290,8,3267,1.8,9,0,2021_08_06-03_32_20_PM
2017-10-04,71577,25561,11,5186,7.9,1,2,2021_08_06-03_32_20_PM
2017-01-01,84219,22849,13,4132,5.9,1,2,2021_08_06-03_32_20_PM
2017-03-09,45060,4220,11,4505,1.8,30,1,2021_08_06-03_32_20_PM
2017-12-01,56103,8818,6,5483,2.0,8,0,2021_08_06-03_32_20_PM
2017-02-17,15193,15897,6,6793,5.2,21,0,2021_08_06-03_32_20_PM
2017-07-07,21255,15858,10,4132,3.6,15,5,2021_08_06-03_32_20_PM
2017-10-17,53166,10870,2,4724,1.8,13,4,2021_08_06-03_32_20_PM
2017-12-29,29204,3487,13,4644,2.0,17,3,2021_08_06-03_32_20_PM
2017-11-29,1804,19369,3,5198,3.7,15,1,2021_08_06-03_32_20_PM
2017-07-06,37585,24257,11,9651,6.6,4,1,2021_08_06-03_32_20_PM
2017-07-06,24837,1507,12,4132,8.4,24,0,2021_08_06-03_32_20_PM
2017-06-29,49011,19468,14,6177,3.8,28,0,2021_08_06-03_32_20_PM
2017-05-15,64908,28939,15,4644,0.5,9,2,2021_08_06-03_32_20_PM
2017-08-21,5457,3158,12,9722,4.8,10,5,2021_08_06-03_32_20_PM
2017-06-02,91126,12907,1,4644,2.3,19,1,2021_08_06-03_32_20_PM
2017-12-09,22482,5378,1,9159,4.8,21,1,2021_08_06-03_32_20_PM
2017-10-16,1699,3829,12,4724,3.3,11,2,2021_08_06-03_32_20_PM
2017-04-19,33996,9286,1,4726,7.1,23,4,2021_08_06-03_32_20_PM
2017-03-11,64752,8711,1,6864,2.0,8,1,2021_08_06-03_32_20_PM
2017-04-05,1699,4655,8,5186,8.6,22,3,2021_08_06-03_32_20_PM
2017-01-12,37585,10361,6,9445,1.7,18,4,2021_08_06-03_32_20_PM
2017-11-26,84219,28752,13,1673,1.2,24,2,2021_08_06-03_32_20_PM
2017-08-23,64752,11007,9,1565,5.7,20,2,2021_08_06-03_32_20_PM
2017-09-24,61663,15788,8,1867,6.2,8,2,2021_08_06-03_32_20_PM
2017-08-04,36779,7647,7,1867,5.3,18,4,2021_08_06-03_32_20_PM
2017-07-04,54443,7587,14,1984,2.0,19,2,2021_08_06-03_32_20_PM
2017-07-30,82994,30201,3,3412,3.0,23,5,2021_08_06-03_32_20_PM
2017-10-28,48477,15112,8,3743,8.1,3,0,2021_08_06-03_32_20_PM
2017-07-06,82994,13162,8,3366,3.9,7,3,2021_08_06-03_32_20_PM
2017-10-15,24684,8321,6,2123,5.6,6,1,2021_08_06-03_32_20_PM
2017-12-19,78288,22308,3,2123,5.1,23,4,2021_08_06-03_32_20_PM
2017-10-10,60121,5211,12,6864,0.9,26,4,2021_08_06-03_32_20_PM
2017-11-16,29204,30114,9,7916,9.1,14,1,2021_08_06-03_32_20_PM
2017-11-23,29204,23307,2,9280,2.9,20,3,2021_08_06-03_32_20_PM
2017-12-21,72009,14715,1,6157,5.8,5,2,2021_08_06-03_32_20_PM
2017-02-09,87548,23717,13,6864,6.7,30,4,2021_08_06-03_32_20_PM
2017-09-10,84219,21320,12,9159,5.7,14,0,2021_08_06-03_32_20_PM
2017-07-28,22366,28279,2,3379,1.6,12,3,2021_08_06-03_32_20_PM
2017-08-05,27089,18840,13,5465,2.6,11,2,2021_08_06-03_32_20_PM
2017-10-21,87198,25400,10,9280,9.5,15,5,2021_08_06-03_32_20_PM
2017-05-04,2566,3202,6,7916,6.9,27,5,2021_08_06-03_32_20_PM
2017-08-15,33996,16894,8,4644,5.4,19,0,2021_08_06-03_32_20_PM
2017-09-28,59981,17711,6,592,7.3,13,2,2021_08_06-03_32_20_PM
2017-05-27,24837,25068,10,5483,8.3,1,0,2021_08_06-03_32_20_PM
2017-07-08,53166,29085,11,9280,5.1,7,0,2021_08_06-03_32_20_PM
2017-04-20,87316,26677,14,3541,6.7,4,0,2021_08_06-03_32_20_PM
2017-11-03,59227,3739,6,7916,8.7,11,3,2021_08_06-03_32_20_PM
2017-02-26,45060,25742,10,5465,3.3,11,2,2021_08_06-03_32_20_PM
2017-07-02,61663,15054,11,3720,2.2,19,1,2021_08_06-03_32_20_PM
2017-10-04,65391,5378,5,1984,8.5,8,2,2021_08_06-03_32_20_PM
2017-12-01,2566,20648,11,7403,9.1,11,1,2021_08_06-03_32_20_PM
2017-04-06,29275,26423,7,2657,2.1,4,2,2021_08_06-03_32_20_PM
2017-01-23,21222,1793,3,2657,6.1,3,4,2021_08_06-03_32_20_PM
2017-02-14,53166,180,1,3720,9.7,27,0,2021_08_06-03_32_20_PM
2017-10-11,21222,24203,9,9841,7.6,20,2,2021_08_06-03_32_20_PM
2017-05-09,24684,21320,12,9869,2.5,12,4,2021_08_06-03_32_20_PM
2017-12-25,5457,12806,8,6177,9.8,2,2,2021_08_06-03_32_20_PM
2017-09-30,5761,11437,9,3983,5.9,21,4,2021_08_06-03_32_20_PM
2017-04-22,83108,4751,5,4132,5.7,9,4,2021_08_06-03_32_20_PM
2017-06-17,58709,20215,12,7793,5.6,13,0,2021_08_06-03_32_20_PM
2017-08-28,52157,12621,5,592,8.4,25,0,2021_08_06-03_32_20_PM
2017-05-03,37585,7476,1,1673,6.4,24,1,2021_08_06-03_32_20_PM
2017-03-05,87316,1176,5,6864,6.9,16,0,2021_08_06-03_32_20_PM
